GEX historical data for SPY
Retrieved,Price,Gex Value At Next Exp,GEX Flip Price,Put Skew,Skew Adj GEX,IV,Avg Volume,Gex/Vol,PCR (OI),Rating
2024-02-20 09:39:03,497.495,-2937506007.825466,499.76,-0.012135970037643301,321217267.6295425,0.12739604662698412,59801343,0.002,3.13,3
2024-02-16 15:46:54,499.7299,242183133.17133984,498.39,-0.011014635186901878,-82418662.67158164,0.11954227182539683,59801343,-0.001,3.28,4
2024-02-16 09:39:28,501.05,2719400605.3461504,498.53,-0.008375626829401184,-333931908.434058,0.12009541666666666,45899304,-0.003,2.85,3
2024-02-15 15:49:56,501.245,4447905611.385084,495.85,-0.016149011597920204,-473121870.8340464,0.1178314484126984,45899304,-0.004,2.81,4
2024-02-15 09:39:51,499.99,1881042256.0524473,496.18,-0.008676671057663093,-510628784.23585963,0.11766681051587301,56959356,-0.004,2.74,3
2024-02-14 15:50:43,498.36,566699083.3679041,494.26,-0.0063237300008790465,-337258312.58989096,0.11708925595238094,56959356,-0.002,2.78,3
2024-02-14 09:37:03,496.3,1713050135.5275002,494.1,-0.009186354506509231,-297964990.96721566,0.12077405257936508,80793202,-0.001,2.64,3
2024-02-13 15:46:46,492.82,-453169172.19211197,496.78,0.004650894441917575,-321040561.0730905,0.1275033630952381,80793202,-0.002,2.89,3
2024-02-13 09:38:06,495.08,-2895803254.8493123,498.14,-0.012731500441831745,330957729.3467027,0.12212988095238095,37716076,0.004,2.86,3
2024-02-12 15:47:59,501.165,-70163321.89080375,498.02,-0.03435329106884247,-349104747.4713983,0.11562461805555554,37716076,-0.004,2.91,4
2024-02-12 09:37:10,501.42,1464935520.75624,499.32,-0.0339463553152165,-561880838.7461103,0.11362569444444445,47104588,-0.005,2.81,4
2024-02-09 15:46:35,500.78,489852270.19380397,495.5,-0.036145027783527406,-570813253.6091655,0.10852824404761904,47104588,-0.005,2.85,4
2024-02-09 09:38:18,498.99,2307551667.788961,496.33,-0.03639413165238817,-739608204.7146662,0.10888117063492063,37163865,-0.008,2.7,4
2024-02-08 15:46:33,498.315,953619964.3325521,494.4,-0.035816866887406845,-584119915.5927618,0.10754927083333332,37163865,-0.006,2.76,4
2024-02-08 09:39:11,498.2601,6817305.474340196,496.02,-0.036385324084066,-505729120.36812484,0.11044130952380952,55225148,-0.004,2.71,4
2024-02-07 15:46:26,498.13,1201586458.73825,491.7,-0.0444290300691591,-820677087.4406306,0.1083280009920635,55225148,-0.006,2.75,4
2024-02-07 09:37:29,496.115,2585584322.823964,491.93,-0.04240794263999198,-984464895.1769872,0.10962766865079365,47147853,-0.008,2.67,4
2024-02-06 15:49:39,493.05,915187317.4557,490.8,-0.04026367000747014,-408903840.05774856,0.10971741567460316,47147853,-0.004,2.76,4
2024-02-06 09:37:12,493.44,1232562247.520256,491.42,-0.0350273502897743,-559686974.4071885,0.11252224206349207,58257602,-0.004,2.66,4
2024-02-05 15:46:34,493.089,1400149239.5068436,490.23,-0.04017367496873586,-440751489.86737883,0.11172857638888889,58257602,-0.003,2.79,4
2024-02-05 09:37:56,493.33,-21618955.848987,491.74,-0.029299911073045776,-388601717.0522214,0.11603815972222223,75397963,-0.002,2.73,4
2024-02-02 15:46:36,494.9401,878706673.1253471,488.74,-0.02869949203416261,-579619411.7946295,0.11205200396825397,75397963,-0.003,2.7,4
2024-02-02 09:37:58,489.67,2311543384.4795604,487.96,-0.017317237177246453,-254361074.46796653,0.11698333829365079,72922705,-0.001,2.62,4
2024-02-01 15:46:36,488.815,721740089.4209927,487.51,-0.0205769265596637,-192065730.60353035,0.11451426091269841,72922705,-0.001,2.71,5
2024-02-01 09:43:16,485.43,-1228584675.7430732,487.3,-0.021592688065829174,440845383.3911286,0.11756080357142856,80414341,0.002,2.6,1
2024-01-31 15:47:49,483.55,-639962312.6304501,488.6,-0.01979706685709784,368198518.623883,0.11973090773809524,80414341,0.002,2.79,3
2024-01-31 09:40:32,488.58,-255592017.047808,488.92,-0.035434117417568606,75631946.07082301,0.11352969742063493,42521842,0.001,2.61,1
2024-01-30 15:46:46,491.14,978126542.768024,487.74,-0.04452900700156587,-376198100.2951704,0.11255040674603174,42521842,-0.004,2.71,5
2024-01-30 09:40:47,490.945,1722214993.8013933,488.63,-0.033916803346978386,-569344924.4114166,0.11549541666666666,43666205,-0.005,2.62,4
2024-01-29 15:52:08,490.58,740802437.5128398,486.83,-0.034622720447925776,-482336392.45730186,0.11330795138888888,43666205,-0.005,2.68,4
2024-01-29 09:40:12,487.81,1221170200.9817462,486.83,-0.03246032883609534,-310588116.5368353,0.11606902777777778,53207891,-0.002,2.57,4
2024-01-26 15:47:25,487.3299,548897384.7475413,485.11,-0.028738375512082193,-302298399.67509174,0.11056962797619048,53207891,-0.002,2.56,5
2024-01-26 09:38:29,487.6101,2131862230.5899243,485.5,-0.019986194118075673,-315435027.28473574,0.11382451884920634,55367533,-0.002,2.47,4
2024-01-25 15:47:45,487.05,1169129818.948275,484.68,-0.02715229275588041,-344210631.4854866,0.11188166170634921,55367533,-0.003,2.68,4
2024-01-25 09:38:12,487.44,2224950899.9016957,484.46,-0.031438684534818906,-656297623.3456224,0.11093841765873015,59385749,-0.005,2.55,4
2024-01-24 15:46:28,486.195,451470451.6141673,482.36,-0.032198157031072566,-465218695.92849576,0.10849927579365079,59385749,-0.003,2.57,4
2024-01-24 09:38:01,487.55,1929482406.9428253,482.29,-0.036669693713998947,-812251756.6621449,0.10776568948412699,37501601,-0.009,2.45,4
2024-01-23 15:46:45,484.67,22651890.008227006,481.71,-0.029403594889321816,-368505318.23605245,0.10721352182539681,37501601,-0.004,2.45,4
2024-01-23 09:38:19,483.804,1046051703.9015206,482.01,-0.025718595829396895,-377580300.1799727,0.11226278769841269,61043266,-0.003,2.35,4
2024-01-22 15:48:22,483.5805,356750020.0248704,480.59,-0.02747541987565294,-314159871.79338235,0.11235388888888889,61043266,-0.002,2.56,5
2024-01-22 09:37:30,484.53,1194283273.8843448,480.91,-0.027065434156835932,-476987813.6598268,0.11698940972222223,84794933,-0.002,2.5,4
2024-01-19 15:49:02,481.99,780697053.403252,477.29,-0.016916754540673706,-206423570.50077605,0.11353367063492065,84794933,-0.001,2.41,3
2024-01-19 09:39:56,477.12,5062563671.9616,475.23,-0.0008351026703719011,-385726257.59986484,0.11998413194444445,68764274,-0.002,2.12,3
2024-01-18 15:47:50,476.495,3781870925.7153187,474.62,-0.0001424221733172526,-241587120.084383,0.12045684027777777,68764274,-0.002,2.16,3
2024-01-18 09:39:38,474.1,1225239171.5586002,473.79,-0.00033894423934094364,-61817358.2586076,0.12239943948412699,56232193,-0.0,2.12,3
2024-01-17 15:51:54,472.235,-725074677.5577083,475.22,0.0032290136106365996,-374284154.6853123,0.125619439484127,56232193,-0.003,2.19,3
2024-01-17 09:40:09,471.65,-2675653353.3949747,474.71,0.0012295481696918409,-609192574.6905822,0.12999364583333334,66642799,-0.004,2.14,3
2024-01-16 15:46:42,474.23,-323426941.82227707,475.44,-0.010771735187824316,129201597.89858584,0.11971497023809523,66642799,0.001,2.2,3
2024-01-16 09:39:04,474.79,-1472608146.6213374,475.98,-0.012836682811066147,199219031.10045978,0.12014499007936508,47075159,0.002,2.16,3
2024-01-12 15:47:33,476.64,333086026.950144,474.79,-0.017340413723434034,-165395925.66599885,0.10746156746031747,47075159,-0.002,2.2,3
2024-01-12 09:40:24,478.4,3632510535.0143995,475.15,-0.01792535699845016,-502833564.3136,0.10954894841269841,65201047,-0.003,2.13,4
2024-01-11 15:48:07,475.88,631509039.4740961,474.24,-0.023113913900615513,-342285162.0240651,0.10724619047619048,65201047,-0.002,2.15,5
2024-01-11 09:37:43,477.606,344725165.05549264,475.17,-0.030250652614446233,-603961664.4335012,0.10960533234126983,48391835,-0.005,2.13,4
2024-01-10 15:47:29,475.95,182899032.1785,473.56,-0.025065796794416312,-354209528.21746725,0.11018331349206349,48391835,-0.003,2.2,5
2024-01-10 09:38:42,474.91,1452485709.1394053,473.42,-0.016640470740782703,-217400107.51877254,0.11166816964285714,50162498,-0.002,2.15,4
2024-01-09 15:46:58,473.43,257303604.98590204,473.4,-0.02393309091633672,-7306485.044994406,0.11153578373015872,50162498,-0.0,2.24,5
2024-01-09 09:39:22,472.13,-513820090.160821,473.08,-0.016901608356706815,150620703.50655594,0.11759348214285713,55354534,0.001,2.22,3
2024-01-08 15:46:37,473.98,805725735.6833881,471.07,-0.025334548364347953,-383253172.5920392,0.11498368055555555,55354534,-0.003,2.03,5
2024-01-08 09:37:47,469.08,505755053.01086396,469.72,-0.013555945041252293,87821543.76316762,0.1219117013888889,68447296,0.001,1.99,3
2024-01-05 15:46:52,467.71,-17815215.335504,470.29,-0.006224495605318847,191836981.89086407,0.11873788194444446,68447296,0.001,1.87,3
2024-01-05 09:40:34,467.77,-790260704.6442848,469.32,-0.00931721049854023,238886285.17403916,0.12067102678571429,53001034,0.002,1.75,3
2024-01-04 15:48:04,468.465,-395518610.386944,470.1,-0.003072930553302544,160338979.2368759,0.12234911706349205,53001034,0.001,1.79,3
2024-01-04 09:39:34,469.05,-106695032.39640002,469.79,-0.0034507252045182513,116201859.87369826,0.12513892857142855,75837554,0.001,1.75,3
